"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","28,312.07","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","28,312.07","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-21 18:52:59 013270861_157_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - REIF-DROP (Commercial Real Estate Assets DROP) - September 20, 2021","Abstain",""
"2021-09-21 18:52:59 013270861_157_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - SB-DDC (Solid Block Detox Digital Coins) - September 20, 2021","Abstain",""
"2021-09-21 15:48:43 013270020_261_000_0","CHOOSE","","28,312.07","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-21 15:48:43 013270020_261_000_0","CHOOSE","","28,312.07","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","Yes (Greenlight)",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-09-18 01:51:50 013246880_093_000_1","VOTE","","28,312.07","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
"2021-09-18 01:51:50 013246880_093_000_0","MOVE VOTE","","28,312.07","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","28,312.07","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","28,312.07","Offboard KNC Legacy Token - September 13, 2021","Yes",""
